지점명,위도,경도,주소,우편번호
노브랜드 제천중앙시장점,37.136628973470074,128.21129990718197,"충북 제천시 풍양로 108 (중앙로1가, 중앙시장상가)",27173
노브랜드 주문진시장점,37.8911488709665,128.827786890956,"강원 강릉시 주문진읍 시장길 38 (주문리, 주문진수산시장)",25413
노브랜드 진주MBC점,35.1637987757405,128.107441976518,"경남 진주시 가호로 13 (가좌동, MBC경남진주)",52817
노브랜드 진주초전점,35.212464,128.112910,경남 진주시 초북로20번길 5-8,52731
노브랜드 진주충무공점,35.169428,128.131865,경남 진주시 범골로60번길 10 (충무공동),52859
노브랜드 진천덕산점,36.90277435230338,127.53491019529514,충북 진천군 덕산읍 대하로 138 (두촌리),27872
노브랜드 진해용원점,35.100322353157026,128.81166413036448,경남 창원시 진해구 용원로 21,51605
노브랜드 진해자은점,35.155138922041004,128.71271011612663,경남 창원시 진해구 장복대로 171,51593
노브랜드 진해풍호점,35.13525930787681,128.70647907635166,경남 창원시 진해구 천자로 379,51654
노브랜드 창원대동점,35.22031393077976,128.69074363266506,"경남 창원시 성산구 원이대로 730 (상남동, 대동백화점)",51498
노브랜드 천안백석점,36.830749,127.123907,충남 천안시 서북구 한들3로 78-3,31091
노브랜드 천안불당점,36.8083941,127.1056786,"충남 천안시 서북구 불당19로 95 (불당동, 천안불당린스트라우스1단지)",31156
노브랜드 천안성성점,36.83971678196179,127.12975152450615,충남 천안시 서북구 성성8로 2-11,31078
노브랜드 천안신방2점,36.788845,127.120002,충남 천안시 동남구 신촌로 8,31177
노브랜드 천안신방점,36.7733316,127.1329743,충남 천안시 동남구 통정10로 43-31 (신방동),31207
노브랜드 천안청당점,36.785770,127.157441,충남 천안시 동남구 청수14로 102 (청당동),31198
노브랜드 청주동남점,36.6180539979337,127.524718764977,충북 청주시 상당구 호미로 80,28760
노브랜드 청주사천점,36.6631989,127.4723661,충북 청주시 청원구 새터로 182 (사천동),28341
노브랜드 춘천점,37.85652791835716,127.73915351008225,강원 춘천시 후석로 11,24378
노브랜드 충주중앙탑점,37.0190682,127.8288209,충북 충주시 중앙탑면 기업도시로 222,27465
노브랜드 충주호암점,36.9535513862812,127.933935268391,충북 충주시 호암토성4길 3,27480
노브랜드 칠곡석적점,36.0770374991573,128.398073018762,경북 칠곡군 석적읍 석적로 1003,39841
노브랜드 칠곡왜관점,35.98008076724588,128.39904622459295,경북 칠곡군 왜관읍 중앙로 58 (왜관리),39903
노브랜드 파주다율점,37.729531502443436,126.7175402542912,경기 파주시 청석로 307,10878
노브랜드 파주동패점,37.7343455,126.7629157,경기 파주시 한울로 63 (동패동),10902
노브랜드 파주목동동점,37.719014089286844,126.73723838922422,경기 파주시 심학산로423번길 7-25 (목동동),10900
노브랜드 파주아울렛점,37.76924419450137,126.69650108759348,"경기 파주시 탄현면 필승로 200 (법흥리, 파주프리미엄아울렛)",10862
노브랜드 파주야당점,37.71174941682795,126.7595469142376,경기 파주시 경의로 1056,10908
노브랜드 파주와동점,37.7343262,126.7642939,경기 파주시 가람로116번길 71 (와동동),10896
노브랜드 판교운중점,37.391087,127.081721,경기 성남시 분당구 운중로166번길 1 (운중동),13467
노브랜드 평택 용이점,36.996576770361536,127.13833966294548,경기 평택시 현신3길 32,17868
노브랜드 평택동삭점,37.01916684369432,127.09645200614676,경기 평택시 동삭로 374 (동삭동),17845
노브랜드 평택비전점,37.0035362,127.1007066,경기 평택시 만세로 1866 (비전동),17851
노브랜드 평택서정점,37.06951203549989,127.06401847157018,경기 평택시 경기대로 1393 (서정동),17773
노브랜드 평택송담점,36.977616,126.928142,경기 평택시 안중읍 송담5길 28-14 (송담리),17941
노브랜드 평택중앙로점,36.994284,127.087924,"경기 평택시 중앙로 46 (평택동, M - 프라자)",17910
노브랜드 평택청북점,37.0102397,126.9742837,경기 평택시 청북읍 안청로2길 33-1 (옥길리),17808
노브랜드 포항상도점,36.0071926959658,129.34541913298,경북 포항시 남구 중흥로 9,37834
노브랜드 포항양덕점,36.08601689314984,129.3960712816291,경북 포항시 북구 신덕로 183 (양덕동),37587
노브랜드 포항오천점,35.9709030339266,129.400544996542,경북 포항시 남구 오천읍 남원로 86-12 (원리),37881
노브랜드 포항초곡점,36.09677168343249,129.3369421910474,경북 포항시 북구 흥해읍 초곡지구로58번길 26,37558
노브랜드 하남미사1점,37.556525,127.187504,"경기 하남시 미사강변대로 76 (풍산동, 미사베스트프라자)",12919
노브랜드 하남미사2동점,37.568987,127.194733,"경기 하남시 미사강변한강로 230 (망월동, 한강타워)",12911
노브랜드 홍성남장점,36.58689439389449,126.6653385672496,충남 홍성군 홍성읍 남장중로 51 (남장리),32241
노브랜드 홍성홍북점,36.657669,126.679072,"충남 홍성군 홍북읍 청사로 146 (신경리, 센텀시티)",32256
노브랜드 화성남양점,37.19881151907056,126.82563977726167,경기 화성시 남양읍 시청로160번길 46 (남양리),18270
노브랜드 화성능동점,37.2143491,127.0564056,경기 화성시 여울로 178-5 (능동),18424
노브랜드 화성동탄리치안점,37.171153260461395,127.11857886068479,경기 화성시 동탄순환대로 263 (산척동),18501
노브랜드 화성동탄자이점,37.21022525511853,127.11247996133088,"경기 화성시 동탄대로24길 117 (영천동, 동탄파크자이)",18466
노브랜드 화성반송점,37.192591,127.065046,경기 화성시 새강3길 27 (반송동),18439
노브랜드 화성봉담점,37.2199317,126.954826,경기 화성시 봉담읍 동화새터길 62 (동화리),18303
노브랜드 화성진안점,37.212048,127.036462,경기 화성시 효행로 995 (진안동),18400
노브랜드 화성향남점,37.1168303,126.9095753,경기 화성시 향남읍 상신하길로328번길 8-13 (하길리),18606
노브랜드 화성향남행정점,37.12568258614872,126.92634667190342,경기 화성시 향남읍 행정동로 17 (행정리),18602
노브랜드 예천호명점,36.5761286177575,128.481176025157,"경북 예천군 호명읍 양지로 14 (산합리, 경북도청신도시 호반베르디움2차)",36849
노브랜드 수원오목천점,37.2404312851246,126.966527227451,경기 수원시 권선구 오목천로 37 (오목천동),16636
